"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit","time_waiting","n_changes","distance_total","distance_walk","distance_transit","stop_PC6"
"2531E","2533C",52.0534049735869,4.29952365154343,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2545J","2533C",52.0501761443925,4.27390518499308,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2532D","2533C",52.0459062928883,4.29687393506817,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2541J","2533C",52.0428029699201,4.276378686054,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2531B","2533C",52.0554542033459,4.29605895548404,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2544X","2533C",52.0485769204117,4.25873629594925,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2543G","2533C",52.0353834676263,4.25634401078893,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2546C","2533C",52.0566592189878,4.27346932211107,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2544T","2533C",52.043708831961,4.25562360610011,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2544E","2533C",52.0464828004557,4.25028829153627,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2541V","2533C",52.051437567357,4.27771245840659,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2532B","2533C",52.0471157905223,4.29792093747227,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2544M","2533C",52.0396112782528,4.25129396965672,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2532A","2533C",52.0437946031594,4.29258857713425,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2531V","2533C",52.0548564711263,4.30164930928224,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2545X","2533C",52.050072270455,4.26717572129706,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2541T","2533C",52.046465644788,4.2793426786611,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2545S","2533C",52.0474238438796,4.27219725060486,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2545D","2533C",52.0447612674383,4.27041304165943,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2541C","2533C",52.0460959866039,4.28354502464633,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2533J","2533C",52.0509015842924,4.29388139874333,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2542N","2533C",52.0331301458607,4.25975908904229,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2542P","2533C",52.0353382689111,4.2680460825945,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2545L","2533C",52.0473179346973,4.27470088904843,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2542R","2533C",52.0384996677343,4.27804423051274,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2533X","2533C",52.0475070540024,4.28681239811095,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2545C","2533C",52.0564072356305,4.26594900581208,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2544K","2533C",52.0441502180298,4.25828520254179,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2531J","2533C",52.0474585115834,4.30134132675691,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2531S","2533C",52.0566910715675,4.30682838231389,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2531C","2533C",52.0558279026928,4.29833090580325,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2543V","2533C",52.039653035803,4.25997191228478,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2541R","2533C",52.0430329074203,4.28099566871628,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2542T","2533C",52.0387486365841,4.27284350201484,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2544H","2533C",52.0457978448674,4.26058713725417,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2531K","2533C",52.0441343141771,4.29620031203014,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2531H","2533C",52.0506011769973,4.30441154951965,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2532R","2533C",52.048497984816,4.29502486962034,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2531T","2533C",52.0536673452504,4.30215544399475,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2544P","2533C",52.0299337341961,4.25081471133695,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2533S","2533C",52.0553882189754,4.28645029912797,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2544A","2533C",52.0522111888174,4.2663242263552,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2546V","2533C",52.0596909931168,4.27556636437299,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2542J","2533C",52.0385335010829,4.25810585554739,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2533A","2533C",52.0536330532777,4.27865212084885,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2541P","2533C",52.0428282252136,4.28029856825596,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2546A","2533C",52.0577480548941,4.27572687830032,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2544G","2533C",52.0425265562463,4.25954339365026,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2532V","2533C",52.045154884928,4.29465346898307,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2545N","2533C",52.0478918255789,4.27889515568648,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2542W","2533C",52.0340586165648,4.26188960211193,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2541A","2533C",52.0527721996025,4.27352709917914,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2545A","2533C",52.0530226817073,4.26308177456596,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2531X","2533C",52.0564879845059,4.29763546300736,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2546R","2533C",52.0570615813484,4.26887575509814,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2546S","2533C",52.0578707378872,4.27105525072026,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2541S","2533C",52.0445572834749,4.27949028631981,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2543C","2533C",52.0384390330544,4.25641060632753,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2542K","2533C",52.0364390701642,4.26312437750577,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2543S","2533C",52.0403612649755,4.26585945503325,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2542A","2533C",52.0402034605346,4.27217308358629,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2531N","2533C",52.049314059414,4.30687520227831,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2544D","2533C",52.0493517376306,4.25167124379522,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2543T","2533C",52.0398470736153,4.26367783290026,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2545K","2533C",52.0481088172448,4.27111535983347,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2531G","2533C",52.0504032430485,4.30421950110588,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2542C","2533C",52.0375620253995,4.26942353312512,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2533G","2533C",52.0481019628413,4.28904693155921,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2543X","2533C",52.0375341571121,4.2553666934214,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2545E","2533C",52.0538899879879,4.26506166395777,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2542V","2533C",52.0370134259517,4.26626571675762,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2545G","2533C",52.0492425239982,4.27529335026369,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2542G","2533C",52.0347841517119,4.26643166834011,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2543B","2533C",52.0408197781465,4.2614617830182,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2531P","2533C",52.0492090305692,4.3034401908163,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2541E","2533C",52.0440311403033,4.27717737206613,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2544W","2533C",52.0467602067797,4.25796164603099,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2541H","2533C",52.0424571974791,4.27793394933281,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2533L","2533C",52.0524663644024,4.29612770686802,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2544V","2533C",52.0454790140349,4.25995965447312,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2532X","2533C",52.0445182307123,4.29296960419982,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2541X","2533C",52.0541032153245,4.27432718219758,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2544J","2533C",52.0450156297235,4.25830282422894,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2546X","2533C",52.0607363175907,4.27761287481445,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2533K","2533C",52.0516140173519,4.29490608489947,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2532S","2533C",52.0487032768463,4.29887219491031,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2545B","2533C",52.0438369470538,4.274959863301,52.0487353984816,4.29328303683979,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2544X","2533E",52.0485769204117,4.25873629594925,52.0527763542252,4.29327791610092,1,1,27,20.6,6.4,0,0,3.9,1.5,2.4,NA
"2533C","2533E",52.0487353984816,4.29328303683979,52.0527763542252,4.29327791610092,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2541C","2533E",52.0460959866039,4.28354502464633,52.0527763542252,4.29327791610092,1,1,10.2,7.3,2.9,0,0,1.7,0.5,1.2,NA
"2531E","2533E",52.0534049735869,4.29952365154343,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2545D","2533E",52.0447612674383,4.27041304165943,52.0527763542252,4.29327791610092,1,1,19.4,16.5,2.9,0,0,2.4,1.3,1.1,NA
"2532V","2533E",52.045154884928,4.29465346898307,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2544E","2533E",52.0464828004557,4.25028829153627,52.0527763542252,4.29327791610092,1,1,30.8,24.4,6.4,0,0,4.2,1.8,2.4,NA
"2543E","2533E",52.0367222332167,4.25362685931864,52.0527763542252,4.29327791610092,1,1,24.9,18.5,6.4,0,0,3.8,1.4,2.4,NA
"2533H","2533E",52.0487012158308,4.29070086181086,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2544C","2533E",52.0467546104116,4.25338619540227,52.0527763542252,4.29327791610092,1,1,27.7,21.3,6.4,0,0,4,1.6,2.4,NA
"2541B","2533E",52.0519372435652,4.27391530920814,52.0527763542252,4.29327791610092,1,1,17.4,14.5,2.9,0,0,2.2,1.1,1.1,NA
"2531P","2533E",52.0492090305692,4.3034401908163,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2532X","2533E",52.0445182307123,4.29296960419982,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2545A","2533E",52.0530226817073,4.26308177456596,52.0527763542252,4.29327791610092,1,1,25.2,12.1,8.9,4.2,1,4,0.9,3.1,NA
"2542G","2533E",52.0347841517119,4.26643166834011,52.0527763542252,4.29327791610092,1,1,20,13.5,6.4,0,0,3.4,1,2.4,NA
"2544T","2533E",52.043708831961,4.25562360610011,52.0527763542252,4.29327791610092,1,1,23.6,17.1,6.4,0,0,3.7,1.3,2.4,NA
"2544W","2533E",52.0467602067797,4.25796164603099,52.0527763542252,4.29327791610092,1,1,23.8,17.3,6.4,0,0,3.7,1.3,2.4,NA
"2533A","2533E",52.0536330532777,4.27865212084885,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531H","2533E",52.0506011769973,4.30441154951965,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2542W","2533E",52.0340586165648,4.26188960211193,52.0527763542252,4.29327791610092,1,1,21.3,14.9,6.4,0,0,3.5,1.1,2.4,NA
"2545G","2533E",52.0492425239982,4.27529335026369,52.0527763542252,4.29327791610092,1,1,11.6,8.7,2.9,0,0,1.8,0.6,1.2,NA
"2542V","2533E",52.0370134259517,4.26626571675762,52.0527763542252,4.29327791610092,1,1,14.9,8.5,6.4,0,0,3,0.6,2.4,NA
"2544D","2533E",52.0493517376306,4.25167124379522,52.0527763542252,4.29327791610092,1,1,33.8,27.4,6.4,0,0,4.4,2,2.4,NA
"2546X","2533E",52.0607363175907,4.27761287481445,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2542X","2533E",52.0334239047007,4.25986820932339,52.0527763542252,4.29327791610092,1,1,23.6,17.2,6.4,0,0,3.7,1.3,2.4,NA
"2542A","2533E",52.0402034605346,4.27217308358629,52.0527763542252,4.29327791610092,1,1,15.3,8.8,6.4,0,0,3,0.6,2.4,NA
"2533T","2533E",52.0486750626026,4.29372754294905,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2542T","2533E",52.0387486365841,4.27284350201484,52.0527763542252,4.29327791610092,1,1,16.2,9.8,6.4,0,0,3.1,0.7,2.4,NA
"2533K","2533E",52.0516140173519,4.29490608489947,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2546C","2533E",52.0566592189878,4.27346932211107,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2532T","2533E",52.0474416051998,4.29884757739698,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2541H","2533E",52.0424571974791,4.27793394933281,52.0527763542252,4.29327791610092,1,1,12.2,9.3,2.9,0,0,1.8,0.7,1.1,NA
"2545L","2533E",52.0473179346973,4.27470088904843,52.0527763542252,4.29327791610092,1,1,11.4,8.6,2.9,0,0,1.8,0.6,1.2,NA
"2543V","2533E",52.039653035803,4.25997191228478,52.0527763542252,4.29327791610092,1,1,18.6,12.1,6.4,0,0,3.3,0.9,2.4,NA
"2542K","2533E",52.0364390701642,4.26312437750577,52.0527763542252,4.29327791610092,1,1,16.4,10,6.4,0,0,3.1,0.7,2.4,NA
"2531C","2533E",52.0558279026928,4.29833090580325,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2544K","2533E",52.0441502180298,4.25828520254179,52.0527763542252,4.29327791610092,1,1,20.6,14.2,6.4,0,0,3.5,1.1,2.4,NA
"2532S","2533E",52.0487032768463,4.29887219491031,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2544M","2533E",52.0396112782528,4.25129396965672,52.0527763542252,4.29327791610092,1,1,30,13.9,9.2,6.9,1,4.3,1,3.3,NA
"2546R","2533E",52.0570615813484,4.26887575509814,52.0527763542252,4.29327791610092,1,1,21,7.8,8.9,4.2,1,3.6,0.6,3,NA
"2532C","2533E",52.0527610273069,4.30393289541152,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2545T","2533E",52.0467487644711,4.27233530039079,52.0527763542252,4.29327791610092,1,1,14.4,11.5,2.9,0,0,2,0.9,1.1,NA
"2545N","2533E",52.0478918255789,4.27889515568648,52.0527763542252,4.29327791610092,1,1,8.6,5.7,2.9,0,0,1.6,0.4,1.2,NA
"2542B","2533E",52.0380578144935,4.26687162425886,52.0527763542252,4.29327791610092,1,1,12.8,6.4,6.4,0,0,2.9,0.5,2.4,NA
"2541S","2533E",52.0445572834749,4.27949028631981,52.0527763542252,4.29327791610092,1,1,7.8,5,2.9,0,0,1.5,0.4,1.1,NA
"2544P","2533E",52.0299337341961,4.25081471133695,52.0527763542252,4.29327791610092,1,1,37.1,30.7,6.4,0,0,4.7,2.3,2.4,NA
"2542H","2533E",52.0349695853731,4.26757165878612,52.0527763542252,4.29327791610092,1,1,19.2,12.8,6.4,0,0,3.3,0.9,2.4,NA
"2531X","2533E",52.0564879845059,4.29763546300736,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531J","2533E",52.0474585115834,4.30134132675691,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2542L","2533E",52.0321711365659,4.26237314917407,52.0527763542252,4.29327791610092,1,1,24.9,18.4,6.4,0,0,3.8,1.4,2.4,NA
"2533L","2533E",52.0524663644024,4.29612770686802,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2533G","2533E",52.0481019628413,4.28904693155921,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2544V","2533E",52.0454790140349,4.25995965447312,52.0527763542252,4.29327791610092,1,1,21.1,14.7,6.4,0,0,3.5,1.1,2.4,NA
"2544A","2533E",52.0522111888174,4.2663242263552,52.0527763542252,4.29327791610092,1,1,21.7,16.9,4.8,0,0,2.8,1.3,1.5,NA
"2531T","2533E",52.0536673452504,4.30215544399475,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2542R","2533E",52.0384996677343,4.27804423051274,52.0527763542252,4.29327791610092,1,1,20.5,17.6,2.9,0,0,2.5,1.3,1.2,NA
"2546B","2533E",52.0591161365999,4.27399671521609,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2541T","2533E",52.046465644788,4.2793426786611,52.0527763542252,4.29327791610092,1,1,5.8,3,2.9,0,0,1.4,0.2,1.2,NA
"2542N","2533E",52.0331301458607,4.25975908904229,52.0527763542252,4.29327791610092,1,1,23.9,17.5,6.4,0,0,3.7,1.3,2.4,NA
"2545B","2533E",52.0438369470538,4.274959863301,52.0527763542252,4.29327791610092,1,1,10,7.1,2.9,0,0,1.7,0.6,1.1,NA
"2543X","2533E",52.0375341571121,4.2553666934214,52.0527763542252,4.29327791610092,1,1,23.4,17,6.4,0,0,3.6,1.2,2.4,NA
"2545W","2533E",52.0509524301826,4.27008583948385,52.0527763542252,4.29327791610092,1,1,21.4,18.6,2.9,0,0,2.5,1.4,1.1,NA
"2545C","2533E",52.0564072356305,4.26594900581208,52.0527763542252,4.29327791610092,1,1,21.4,14.6,6.8,0,0,3.1,1.1,2,NA
"2545V","2533E",52.0500362790353,4.26839997997919,52.0527763542252,4.29327791610092,1,1,20.2,17.3,2.9,0,0,2.4,1.3,1.1,NA
"2532D","2533E",52.0459062928883,4.29687393506817,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2545E","2533E",52.0538899879879,4.26506166395777,52.0527763542252,4.29327791610092,1,1,23.1,9.9,8.9,4.2,1,3.8,0.7,3.1,NA
"2544H","2533E",52.0457978448674,4.26058713725417,52.0527763542252,4.29327791610092,1,1,21.1,14.7,6.4,0,0,3.5,1.1,2.4,NA
"2546T","2533E",52.0592568478597,4.27600442135472,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2543A","2533E",52.0434639733693,4.26411809103701,52.0527763542252,4.29327791610092,1,1,16.4,10,6.4,0,0,3.1,0.7,2.4,NA
"2531K","2533E",52.0441343141771,4.29620031203014,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2541R","2533E",52.0430329074203,4.28099566871628,52.0527763542252,4.29327791610092,1,1,10.6,7.7,2.9,0,0,1.7,0.6,1.1,NA
"2541J","2533E",52.0428029699201,4.276378686054,52.0527763542252,4.29327791610092,1,1,11.7,8.8,2.9,0,0,1.8,0.6,1.2,NA
"2532B","2533E",52.0471157905223,4.29792093747227,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2545P","2533E",52.0486991606871,4.28003531328865,52.0527763542252,4.29327791610092,1,1,10.2,7.3,2.9,0,0,1.7,0.5,1.2,NA
"2543S","2533E",52.0403612649755,4.26585945503325,52.0527763542252,4.29327791610092,1,1,10.8,4.4,6.4,0,0,2.7,0.3,2.4,NA
"2531R","2533E",52.0506225328425,4.30711094944945,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2543C","2533E",52.0384390330544,4.25641060632753,52.0527763542252,4.29327791610092,1,1,22.5,16.1,6.4,0,0,3.6,1.2,2.4,NA
"2543G","2533E",52.0353834676263,4.25634401078893,52.0527763542252,4.29327791610092,1,1,22.4,15.9,6.4,0,0,3.6,1.2,2.4,NA
"2544J","2533E",52.0450156297235,4.25830282422894,52.0527763542252,4.29327791610092,1,1,21.4,14.9,6.4,0,0,3.5,1.1,2.4,NA
"2546S","2533E",52.0578707378872,4.27105525072026,52.0527763542252,4.29327791610092,1,1,21.4,11.1,6,4.2,1,3,0.8,2.2,NA
"2531B","2533E",52.0554542033459,4.29605895548404,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2544L","2533E",52.0351167857076,4.25190836738485,52.0527763542252,4.29327791610092,1,1,27.6,21.2,6.4,0,0,4,1.6,2.4,NA
"2544R","2533E",52.0399609296029,4.25012156605765,52.0527763542252,4.29327791610092,1,1,26.9,15.4,9.3,2.2,1,4.3,1.2,3.1,NA
"2531G","2533E",52.0504032430485,4.30421950110588,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2542E","2533E",52.0358716120214,4.26738012702625,52.0527763542252,4.29327791610092,1,1,17.4,11,6.4,0,0,3.2,0.8,2.4,NA
"2544N","2533E",52.0342293799336,4.24498616242454,52.0527763542252,4.29327791610092,1,1,34.1,27.7,6.4,0,0,4.5,2.1,2.4,NA
"2541P","2533E",52.0428282252136,4.28029856825596,52.0527763542252,4.29327791610092,1,1,11,8.2,2.9,0,0,1.7,0.6,1.1,NA
"2531A","2533E",52.0572754569254,4.29968548273034,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2542P","2533E",52.0353382689111,4.2680460825945,52.0527763542252,4.29327791610092,1,1,18.6,12.1,6.4,0,0,3.3,0.9,2.4,NA
"2543B","2533E",52.0408197781465,4.2614617830182,52.0527763542252,4.29327791610092,1,1,16.6,10.2,6.4,0,0,3.1,0.7,2.4,NA
"2546A","2533E",52.0577480548941,4.27572687830032,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2545S","2533E",52.0474238438796,4.27219725060486,52.0527763542252,4.29327791610092,1,1,14.5,11.6,2.9,0,0,2,0.9,1.1,NA
"2532A","2533E",52.0437946031594,4.29258857713425,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2532R","2533E",52.048497984816,4.29502486962034,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2545H","2533E",52.0436878110164,4.28273156391466,52.0527763542252,4.29327791610092,1,1,9.8,7,2.9,0,0,1.7,0.5,1.2,NA
"2533X","2533E",52.0475070540024,4.28681239811095,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2533S","2533E",52.0553882189754,4.28645029912797,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2533J","2533E",52.0509015842924,4.29388139874333,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2544G","2533E",52.0425265562463,4.25954339365026,52.0527763542252,4.29327791610092,1,1,19.2,12.8,6.4,0,0,3.3,0.9,2.4,NA
"2545K","2533E",52.0481088172448,4.27111535983347,52.0527763542252,4.29327791610092,1,1,15.8,12.9,2.9,0,0,2.1,1,1.1,NA
"2544S","2533E",52.0416822739541,4.25091669844794,52.0527763542252,4.29327791610092,1,1,28.4,18.1,8.1,2.2,1,4.1,1.4,2.7,NA
"2546V","2533E",52.0596909931168,4.27556636437299,52.0527763542252,4.29327791610092,1,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
